logs/submit_seed42.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=./data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:20
val_loader:shards pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:22368841
world_size:1 grad_accum_steps:8
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:524288 train_seq_len:2048 iterations:20000 warmup_steps:20 max_wallclock_seconds:600.000
seed:42
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9299 val_bpb:4.1043 train_time:0ms step_avg:0.02ms
step:1/20000 train_loss:6.9306 train_time:525ms step_avg:525.09ms
step:2/20000 train_loss:8.0582 train_time:1001ms step_avg:500.54ms
step:3/20000 train_loss:7.5639 train_time:1432ms step_avg:477.34ms
step:4/20000 train_loss:7.0121 train_time:1941ms step_avg:485.25ms
step:5/20000 train_loss:6.7724 train_time:2453ms step_avg:490.69ms
step:6/20000 train_loss:6.7501 train_time:2921ms step_avg:486.85ms
step:7/20000 train_loss:6.4738 train_time:3467ms step_avg:495.27ms
step:8/20000 train_loss:6.3645 train_time:3954ms step_avg:494.22ms
step:9/20000 train_loss:6.2677 train_time:4537ms step_avg:504.11ms
step:10/20000 train_loss:6.1083 train_time:5012ms step_avg:501.16ms
step:100/20000 train_loss:3.2132 train_time:47324ms step_avg:473.24ms
step:200/20000 train_loss:2.7013 train_time:93577ms step_avg:467.88ms
step:300/20000 train_loss:2.5235 train_time:141724ms step_avg:472.41ms
step:400/20000 train_loss:2.3020 train_time:190212ms step_avg:475.53ms
step:500/20000 train_loss:2.4103 train_time:238324ms step_avg:476.65ms
step:500/20000 val_loss:2.4032 val_bpb:1.4233 train_time:238325ms step_avg:476.65ms
step:600/20000 train_loss:2.4032 train_time:284613ms step_avg:474.36ms
step:700/20000 train_loss:2.3588 train_time:330122ms step_avg:471.60ms
swa:start step:800
step:800/20000 train_loss:2.2469 train_time:376563ms step_avg:470.70ms
step:900/20000 train_loss:2.2698 train_time:423045ms step_avg:470.05ms
step:1000/20000 train_loss:2.2551 train_time:469417ms step_avg:469.42ms
step:1000/20000 val_loss:2.2232 val_bpb:1.3167 train_time:469637ms step_avg:469.64ms
step:1100/20000 train_loss:2.1657 train_time:516514ms step_avg:469.56ms
step:1200/20000 train_loss:2.1690 train_time:564262ms step_avg:470.22ms
step:1275/20000 val_loss:2.1637 val_bpb:1.2815 train_time:600347ms step_avg:470.86ms
stopping_early: wallclock_cap train_time:600347ms step:1275/20000
peak memory allocated: 11561 MiB reserved: 11710 MiB
swa:applying averaged 5 checkpoints
Serialized model: 87413467 bytes
Code size: 52243 bytes
Total submission size: 87465710 bytes
Serialized model int6+zlib: 16336814 bytes
Total submission size int8+zlib: 16389057 bytes
final_eval_mode:sliding_window stride:64 batch_seqs:32
  sliding_eval [  0.0%] 32/969088 windows running_bpb=1.335991
  sliding_eval [  0.2%] 1632/969088 windows running_bpb=1.272399
  sliding_eval [  0.3%] 3232/969088 windows running_bpb=1.266684
  sliding_eval [  0.5%] 4832/969088 windows running_bpb=1.263336
  sliding_eval [  0.7%] 6432/969088 windows running_bpb=1.277044
  sliding_eval [  0.8%] 8032/969088 windows running_bpb=1.278557
  sliding_eval [  1.0%] 9632/969088 windows running_bpb=1.280749
  sliding_eval [  1.2%] 11232/969088 windows running_bpb=1.275191
  sliding_eval [  1.3%] 12832/969088 windows running_bpb=1.272579
  sliding_eval [  1.5%] 14432/969088 windows running_bpb=1.274642
  sliding_eval [  1.7%] 16032/969088 windows running_bpb=1.283479
  sliding_eval [  1.8%] 17632/969088 windows running_bpb=1.281355
  sliding_eval [  2.0%] 19232/969088 windows running_bpb=1.282380
  sliding_eval [  2.1%] 20832/969088 windows running_bpb=1.281099
  sliding_eval [  2.3%] 22432/969088 windows running_bpb=1.279842
  sliding_eval [  2.5%] 24032/969088 windows running_bpb=1.280506
  sliding_eval [  2.6%] 25632/969088 windows running_bpb=1.282148
  sliding_eval [  2.8%] 27232/969088 windows running_bpb=1.282615
  sliding_eval [  3.0%] 28832/969088 windows running_bpb=1.288468
  sliding_eval [  3.1%] 30432/969088 windows running_bpb=1.285799
  sliding_eval [  3.3%] 32032/969088 windows running_bpb=1.287182
  sliding_eval [  3.5%] 33632/969088 windows running_bpb=1.285520
  sliding_eval [  3.6%] 35232/969088 windows running_bpb=1.284887
  sliding_eval [  3.8%] 36832/969088 windows running_bpb=1.284035
  sliding_eval [  4.0%] 38432/969088 windows running_bpb=1.284667
  sliding_eval [  4.1%] 40032/969088 windows running_bpb=1.282291
  sliding_eval [  4.3%] 41632/969088 windows running_bpb=1.281423
  sliding_eval [  4.5%] 43232/969088 windows running_bpb=1.281936
  sliding_eval [  4.6%] 44832/969088 windows running_bpb=1.281059
  sliding_eval [  4.8%] 46432/969088 windows running_bpb=1.280888
  sliding_eval [  5.0%] 48032/969088 windows running_bpb=1.279980
  sliding_eval [  5.1%] 49632/969088 windows running_bpb=1.281360
  sliding_eval [  5.3%] 51232/969088 windows running_bpb=1.282567
  sliding_eval [  5.5%] 52832/969088 windows running_bpb=1.283156
  sliding_eval [  5.6%] 54432/969088 windows running_bpb=1.282825
  sliding_eval [  5.8%] 56032/969088 windows running_bpb=1.283340
  sliding_eval [  5.9%] 57632/969088 windows running_bpb=1.282781
  sliding_eval [  6.1%] 59232/969088 windows running_bpb=1.278672
  sliding_eval [  6.3%] 60832/969088 windows running_bpb=1.278832
  sliding_eval [  6.4%] 62432/969088 windows running_bpb=1.279454
  sliding_eval [  6.6%] 64032/969088 windows running_bpb=1.279782
  sliding_eval [  6.8%] 65632/969088 windows running_bpb=1.279649
  sliding_eval [  6.9%] 67232/969088 windows running_bpb=1.278422
  sliding_eval [  7.1%] 68832/969088 windows running_bpb=1.278063
  sliding_eval [  7.3%] 70432/969088 windows running_bpb=1.277177
  sliding_eval [  7.4%] 72032/969088 windows running_bpb=1.277262
